id,budget,revenue
2,0,0
3,0,0
5,4000000,4300000
6,0,12136938
11,11000000,775398007
12,94000000,940335536
13,55000000,677945399
14,15000000,356296601
15,839727,23217674
16,12800000,40031879
17,0,0
18,90000000,263920180
19,92620000,650422
20,0,9726954
21,0,0
22,140000000,655011224
24,30000000,180949000
25,72000000,96889998
26,1400000,0
27,1000000,1574623
28,31500000,89460381
30,0,0
33,14000000,159157447
35,75000000,527068851
38,20000000,72258126
55,2000000,20908467
58,200000000,1065659812
59,32000000,60740827
62,10500000,68700000
63,29500000,168840000
64,9285469,51001550
65,41000000,215000000
66,50000000,50068310
67,0,3357075
68,15000000,0
69,28000000,186438883
70,30000000,216763646
71,5000000,110000000
73,20000000,23875127
74,132000000,591739379
75,70000000,101371017
76,2500000,5535405
77,9000000,39723096
78,28000000,33139618
79,31000000,177394432
80,2700000,15992615
81,1000000,3301446
82,135000000,163794509
83,130000,54667954
85,18000000,389925971
86,6000000,0
87,28000000,333000000
88,6000000,213954274
89,48000000,474171806
90,15000000,316360478
91,20000,0
92,0,0
93,0,0
95,140000000,553799566
96,20000000,299965036
97,17000000,33000000
98,103000000,457640427
99,8272296,67872296
100,1350000,3897569
101,16000000,45284974
102,0,0
103,1300000,28262574
104,1530000,7267585
105,19000000,381109762
106,18000000,98235548
107,10000000,83557872
108,0,0
109,0,0
110,0,0
111,25000000,65884703
112,0,0
113,0,6502364
114,14000000,463000000
115,15000000,46189568
116,15000000,85306374
117,25000000,76270454
118,150000000,474968763
120,93000000,871368364
121,79000000,926287400
122,94000000,1118888979
123,4000000,30471420
124,0,0
127,0,0
128,26500000,159375308
129,15000000,274925095
132,0,0
133,0,0
134,26000000,71868327
135,0,0
136,0,0
137,14600000,70906973
138,355000,1012189
139,0,0
140,5000000,40266982
